iter	Logloss
0	0.3994066509
1	0.2237757116
2	0.1331014134
3	0.0842149304
4	0.06649628985
5	0.05060212573
6	0.03643590905
7	0.0305835922
8	0.02531636336
9	0.0218216453
10	0.01858135165
11	0.01573019495
12	0.01444660027
13	0.01246635353
14	0.01095003385
15	0.009450290817
16	0.008272010277
17	0.007264015525
18	0.00658373116
19	0.005918446279
20	0.005207715846
21	0.004617558989
22	0.004124616614
23	0.003868650541
24	0.003537402587
25	0.003282067443
26	0.003010050436
27	0.00279890636
28	0.002619012479
29	0.002459234885
30	0.002264659735
31	0.002168235353
32	0.00202044409
33	0.00190421092
34	0.001756706122
35	0.001434258906
36	0.001368145699
37	0.001280527651
38	0.001233307311
39	0.001143444866
40	0.001047011974
41	0.0009867595398
42	0.0009379978301
43	0.0009059498006
44	0.0008808849617
45	0.0008404594217
46	0.0008032820579
47	0.0007443875171
48	0.0007112148607
49	0.0006774635979
50	0.0006259046322
51	0.0005751106598
52	0.0005482791079
53	0.0005243147672
54	0.0004984636011
55	0.0004788770925
56	0.0004350831131
57	0.0004198268935
58	0.0004007816449
59	0.0003668839136
60	0.0003406418052
61	0.0003281627454
62	0.0003112315893
63	0.0002926993289
64	0.0002744557974
65	0.0002653933152
66	0.0002484050936
67	0.0002370776481
68	0.000224690151
69	0.0002122251789
70	0.0002024279061
71	0.0001964459115
72	0.0001862113467
73	0.0001758097423
74	0.0001686962395
75	0.0001612114787
76	0.0001526109849
77	0.0001482722568
78	0.0001390920686
79	0.0001391209772
80	0.0001341197732
81	0.0001298389611
82	0.0001246996595
83	0.0001246996595
84	0.0001204562806
85	0.0001204562806
86	0.0001204562806
87	0.0001204562806
88	0.0001204562806
89	0.0001204562806
90	0.0001204562806
91	0.0001204562806
92	0.0001204400865
93	0.0001204400865
94	0.0001204462273
95	0.0001204416865
96	0.0001160725811
97	0.0001124708314
98	0.0001065906136
99	0.0001017494568
100	0.0001017494568
101	9.930384402e-05
102	9.930384402e-05
103	9.6154468e-05
104	9.617063451e-05
105	9.617063451e-05
106	9.61463794e-05
107	9.617248566e-05
108	9.615919139e-05
109	9.616251474e-05
110	9.613171002e-05
111	9.615951424e-05
112	9.615951424e-05
113	9.615580972e-05
114	9.613394993e-05
115	9.613394993e-05
116	9.613394993e-05
117	9.613394993e-05
118	9.367110546e-05
119	9.367110546e-05
120	8.697337922e-05
121	8.396940826e-05
122	8.396940826e-05
123	8.396940826e-05
124	8.396940826e-05
125	8.396940826e-05
126	8.111139299e-05
127	8.111139299e-05
128	8.111139299e-05
129	8.111139299e-05
130	8.111139299e-05
131	8.111139299e-05
132	8.111139299e-05
133	8.111139299e-05
134	8.111139299e-05
135	8.111139299e-05
136	8.111139299e-05
137	8.111139299e-05
138	8.111139299e-05
139	8.111139299e-05
140	8.111139299e-05
141	8.111139299e-05
142	8.111139299e-05
143	8.111139299e-05
144	8.111139299e-05
145	8.111139299e-05
146	8.111139299e-05
147	8.111139299e-05
148	8.111139299e-05
149	8.111139299e-05
150	8.111139299e-05
151	8.111139299e-05
152	8.111139299e-05
153	8.111139299e-05
154	8.111139299e-05
155	8.111139299e-05
156	8.111139299e-05
157	8.111139299e-05
158	8.111139299e-05
159	8.111139299e-05
160	8.111139299e-05
161	8.111139299e-05
162	8.111139299e-05
163	8.111139299e-05
164	8.111139299e-05
165	8.111139299e-05
166	8.111139299e-05
167	8.111139299e-05
168	8.111139299e-05
169	8.111139299e-05
170	8.111139299e-05
171	8.111139299e-05
172	8.111139299e-05
173	8.111139299e-05
174	8.111139299e-05
175	8.111139299e-05
176	8.111139299e-05
